chr20	32761950	32761972	DigenomeSeq-HEK4-on-target	19.26	+	chr20	32761950	32761972	HEK239T-site4-on-target	115	+
chr6	160096843	160096865	DigenomeSeq-HEK4-off-target-1	15.45	-	chr6	160096843	160096865	HEK239T-site4-Detect-off-target-15	88	-
chr6	168386442	168386463	DigenomeSeq-HEK4-off-target-2	15.37	+	chr6	168386442	168386464	HEK239T-site4-Detect-off-target-27	59	+
chr19	32891169	32891191	DigenomeSeq-HEK4-off-target-3	13.83	-	chr19	32891169	32891191	HEK239T-site4-Detect-off-target-20	88	-
chr20	61505481	61505503	DigenomeSeq-HEK4-off-target-4	12.71	+	chr20	61505481	61505503	HEK239T-site4-Detect-off-target-83	70	+
chr5	141853271	141853293	DigenomeSeq-HEK4-off-target-5	10.87	+	.	-1	-1	.	-1	.
chr20	61435490	61435512	DigenomeSeq-HEK4-off-target-6	10.51	+	chr20	61435490	61435512	HEK239T-site4-Detect-off-target-56	79	+
chr13	69562589	69562610	DigenomeSeq-HEK4-off-target-7	8.76	+	chr13	69562589	69562611	HEK239T-site4-Detect-off-target-28	59	+
chr20	1171204	1171226	DigenomeSeq-HEK4-off-target-8	8.41	-	chr20	1171204	1171226	HEK239T-site4-Detect-off-target-22	88	-
chr15	71394583	71394605	DigenomeSeq-HEK4-off-target-9	7.7	-	.	-1	-1	.	-1	.
chr7	1357746	1357768	DigenomeSeq-HEK4-off-target-10	6.71	+	chr7	1357746	1357768	HEK239T-site4-Detect-off-target-73	70	+
chr20	46714355	46714377	DigenomeSeq-HEK4-off-target-11	6.57	+	chr20	46714355	46714377	HEK239T-site4-Detect-off-target-6	97	+
chr8	20996983	20997005	DigenomeSeq-HEK4-off-target-12	5.57	-	.	-1	-1	.	-1	.
chr7	54493728	54493750	DigenomeSeq-HEK4-off-target-13	5.4	+	chr7	54493728	54493750	HEK239T-site4-Detect-off-target-42	79	+
chr15	60498346	60498368	DigenomeSeq-HEK4-off-target-14	5.29	+	chr15	60498346	60498368	HEK239T-site4-Detect-off-target-76	70	+
chr13	27055267	27055289	DigenomeSeq-HEK4-off-target-15	4.4	-	chr13	27055267	27055289	HEK239T-site4-Detect-off-target-4	97	-
chr7	110503077	110503099	DigenomeSeq-HEK4-off-target-16	3.69	+	chr7	110503077	110503099	HEK239T-site4-Detect-off-target-43	79	+
chr7	139559644	139559666	DigenomeSeq-HEK4-off-target-17	3.59	+	chr7	139559644	139559666	HEK239T-site4-Detect-off-target-16	88	+
chr19	2474639	2474660	DigenomeSeq-HEK4-off-target-18	3.56	-	chr19	2474638	2474660	HEK239T-site4-Detect-off-target-2	77	-
chr2	6821108	6821130	DigenomeSeq-HEK4-off-target-19	3.17	+	.	-1	-1	.	-1	.
chr17	77433192	77433214	DigenomeSeq-HEK4-off-target-20	2.9	-	chr17	77433192	77433214	HEK239T-site4-Detect-off-target-81	70	-
chr7	17940078	17940100	DigenomeSeq-HEK4-off-target-21	2.66	+	chr7	17940077	17940100	HEK239T-site4-Detect-off-target-25	64	+
chr9	5020574	5020596	DigenomeSeq-HEK4-off-target-22	2.64	+	.	-1	-1	.	-1	.
chrX	123345691	123345712	DigenomeSeq-HEK4-off-target-23	2.52	-	chrX	123345690	123345712	HEK239T-site4-Detect-off-target-8	68	-
chr12	104345814	104345836	DigenomeSeq-HEK4-off-target-24	2.48	+	chr12	104345814	104345836	HEK239T-site4-Detect-off-target-101	61	+
chr17	42541604	42541626	DigenomeSeq-HEK4-off-target-25	2.38	+	.	-1	-1	.	-1	.
chr8	143699125	143699147	DigenomeSeq-HEK4-off-target-26	2.38	-	chr8	143699125	143699147	HEK239T-site4-Detect-off-target-24	88	-
chr9	71489033	71489055	DigenomeSeq-HEK4-off-target-27	2.36	-	chr9	71489033	71489055	HEK239T-site4-Detect-off-target-44	79	-
chr18	39614588	39614610	DigenomeSeq-HEK4-off-target-28	2.31	-	chr18	39614588	39614610	HEK239T-site4-Detect-off-target-5	97	-
chr20	62320609	62320631	DigenomeSeq-HEK4-off-target-29	2.12	-	.	-1	-1	.	-1	.
chr12	113497639	113497661	DigenomeSeq-HEK4-off-target-30	1.63	+	.	-1	-1	.	-1	.
chrX	71377786	71377807	DigenomeSeq-HEK4-off-target-31	1.57	-	chrX	71377785	71377807	HEK239T-site4-Detect-off-target-31	59	-
chr15	40752038	40752060	DigenomeSeq-HEK4-off-target-32	1.31	-	.	-1	-1	.	-1	.
chr17	326505	326527	DigenomeSeq-HEK4-off-target-33	1.18	-	chr17	326505	326527	HEK239T-site4-Detect-off-target-19	88	-
chr10	75343345	75343367	DigenomeSeq-HEK4-off-target-34	1.15	+	chr10	75343345	75343367	HEK239T-site4-Detect-off-target-46	79	+
chr7	135187274	135187296	DigenomeSeq-HEK4-off-target-35	0.93	-	chr7	135187274	135187296	HEK239T-site4-Detect-off-target-74	70	-
chr9	130276880	130276902	DigenomeSeq-HEK4-off-target-36	0.86	+	chr9	130276880	130276902	HEK239T-site4-Detect-off-target-17	88	+
chr10	71675485	71675507	DigenomeSeq-HEK4-off-target-37	0.79	-	.	-1	-1	.	-1	.
chr14	21525315	21525337	DigenomeSeq-HEK4-off-target-38	0.78	-	.	-1	-1	.	-1	.
chr17	31488539	31488561	DigenomeSeq-HEK4-off-target-39	0.59	-	.	-1	-1	.	-1	.
chr16	50266419	50266441	DigenomeSeq-HEK4-off-target-40	0.56	+	.	-1	-1	.	-1	.
